nombre,carretera,tramo,operador,latitud,longitud,direccion,km,tipo_vehiculo,tarifa_efectivo,tarifa_tag,vigencia_desde,vigencia_hasta
Caseta Palmillas,MEX-057D,México - Querétaro,CAPUFE,20.306912,-99.934987,both,148.0,automovil,108.0,108.0,2024-01-01,2026-12-31
Caseta Palmillas,MEX-057D,México - Querétaro,CAPUFE,20.306912,-99.934987,both,148.0,motocicleta,54.0,54.0,2024-01-01,2026-12-31
Caseta Tepotzotlán,MEX-057D,México - Querétaro,CAPUFE,19.714400,-99.207500,both,43.0,automovil,108.0,108.0,2024-01-01,2026-12-31
Caseta Tepotzotlán,MEX-057D,México - Querétaro,CAPUFE,19.714400,-99.207500,both,43.0,motocicleta,54.0,54.0,2024-01-01,2026-12-31
Caseta Chichimequillas,MEX-057D-LIB,Libramiento Norponiente Querétaro,CONCESIONARIO,20.738100,-100.327500,both,18.0,automovil,65.0,65.0,2024-01-01,2026-12-31
Caseta Querétaro - Celaya,MEX-045D,Querétaro - Irapuato,CAPUFE,20.551200,-100.485100,both,12.0,automovil,95.0,95.0,2024-01-01,2026-12-31
Caseta Puerto México,MEX-057D,Querétaro - San Luis Potosí,FONADIN,21.315000,-100.563000,both,88.0,automovil,145.0,145.0,2024-01-01,2026-12-31
Caseta Querétaro - Arco Norte,MEX-M40D,Autopista Arco Norte,CONCESIONARIO,19.996598,-99.490843,both,18.0,automovil,115.0,115.0,2024-01-01,2026-12-31
Caseta Tula - Arco Norte,MEX-M40D,Autopista Arco Norte,CONCESIONARIO,20.068881,-99.225835,both,45.0,automovil,95.0,95.0,2024-01-01,2026-12-31
Caseta Pachuca - Arco Norte,MEX-M40D,Autopista Arco Norte,CONCESIONARIO,19.930860,-98.896466,both,88.0,automovil,130.0,130.0,2024-01-01,2026-12-31
Caseta San Martín Texmelucan - Arco Norte,MEX-M40D,Autopista Arco Norte,CONCESIONARIO,19.402391,-98.422697,both,172.0,automovil,165.0,165.0,2024-01-01,2026-12-31
Caseta San Marcos,MEX-150D,México - Puebla,CAPUFE,19.323500,-98.887400,both,33.0,automovil,156.0,156.0,2024-01-01,2026-12-31
Caseta Amozoc,MEX-150D,Puebla - Acacingo,CAPUFE,19.055247,-98.055725,both,142.0,automovil,85.0,85.0,2024-01-01,2026-12-31
Caseta Esperanza,MEX-150D,Puebla - Orizaba,CAPUFE,18.858224,-97.360131,both,221.0,automovil,160.0,160.0,2024-01-01,2026-12-31
Caseta Cuitláhuac,MEX-150D,Córdoba - Veracruz,CAPUFE,18.823259,-96.709435,both,291.0,automovil,128.0,128.0,2024-01-01,2026-12-31
Caseta La Tinaja - Cosamaloapan,MEX-145D,La Tinaja - Acayucan,CAPUFE,18.273046,-95.716454,both,82.0,automovil,250.0,250.0,2024-01-01,2026-12-31
Caseta Acayucan,MEX-145D,La Tinaja - Acayucan,CAPUFE,17.911190,-94.917807,both,188.0,automovil,95.0,95.0,2024-01-01,2026-12-31
Caseta Sánchez Magallanes - La Venta,MEX-180D,Agua Dulce - Cárdenas,CAPUFE,18.062320,-94.040975,both,42.0,automovil,90.0,90.0,2024-01-01,2026-12-31
